Location,Time,Severity,Cause,Latitude,Longitude
Hilltop Street,2024-12-20 04:15:00,High,Road debris,37.777038,-122.429769
Riverfront Drive,2024-12-20 10:52:00,Medium,Construction work,36.13779,-115.106754
Elmwood Road,2024-12-20 23:00:00,Low,Multi-vehicle crash,41.856572,-87.618667
Riverfront Drive,2024-12-21 00:33:00,Low,Pedestrian crossing,36.127505,-115.125323
Maple Avenue,2024-12-20 01:41:00,High,Heavy rain,35.05044,-106.648633
Cedar Lane,2024-12-21 02:45:00,Medium,Vehicle breakdown,42.399247,-71.046349
Main Street,2024-12-21 14:43:00,Medium,Heavy rain,40.739426,-73.95296
Cedar Lane,2024-12-21 20:21:00,High,Animal on road,42.381841,-71.024261
Downtown Avenue,2024-12-20 02:01:00,High,Heavy rain,34.064992,-118.233487
Broadway Boulevard,2024-12-21 06:35:00,Low,Fog,38.915704,-77.027747
Downtown Avenue,2024-12-20 23:43:00,Medium,Construction work,34.087162,-118.215393
Maple Avenue,2024-12-21 16:23:00,Low,Pedestrian crossing,35.056852,-106.613636
Downtown Avenue,2024-12-21 11:48:00,Low,Construction work,34.05359,-118.24492
Elmwood Road,2024-12-21 20:04:00,High,Construction work,41.898777,-87.64846
Broadway Boulevard,2024-12-20 17:44:00,High,Road debris,38.939752,-77.033085
Broadway Boulevard,2024-12-20 10:01:00,High,Pedestrian crossing,38.903377,-77.006767
Elmwood Road,2024-12-21 04:21:00,Medium,Multi-vehicle crash,41.881294,-87.611002
Downtown Avenue,2024-12-20 06:06:00,Low,Traffic signal fail,34.061441,-118.240013
Lakeview Parkway,2024-12-20 00:37:00,High,Construction work,39.750505,-104.911694
Riverfront Drive,2024-12-21 16:30:00,Low,Traffic signal fail,36.114033,-115.137451
Lakeview Parkway,2024-12-21 15:28:00,Low,Road debris,39.768096,-104.915792
Hilltop Street,2024-12-21 11:17:00,Low,Pedestrian crossing,37.773718,-122.446926
Oakwood Drive,2024-12-20 11:15:00,Medium,Fog,33.751301,-96.777995
Cedar Lane,2024-12-21 17:22:00,High,Multi-vehicle crash,42.380371,-71.027781
Broadway Boulevard,2024-12-21 11:38:00,Medium,Fog,38.925721,-77.020184
Maple Avenue,2024-12-21 03:26:00,High,Construction work,35.058341,-106.629077
Riverfront Drive,2024-12-20 13:31:00,High,Construction work,36.138464,-115.13427
Cedar Lane,2024-12-20 15:01:00,Low,Traffic signal fail,42.361211,-71.033285
Elmwood Road,2024-12-21 19:39:00,Low,Animal on road,41.873611,-87.629852
Oakwood Drive,2024-12-21 09:18:00,Medium,Road debris,33.790569,-96.772698
Riverfront Drive,2024-12-20 22:02:00,High,Construction work,36.103295,-115.120984
Riverfront Drive,2024-12-20 23:29:00,Medium,Traffic signal fail,36.124812,-115.112635
Broadway Boulevard,2024-12-20 09:14:00,Low,Fog,38.94035,-77.005649
Oakwood Drive,2024-12-20 06:54:00,Medium,Vehicle breakdown,33.76708,-96.753979
Maple Avenue,2024-12-20 03:41:00,Medium,Pedestrian crossing,35.093487,-106.609443
Maple Avenue,2024-12-20 12:31:00,High,Pedestrian crossing,35.069976,-106.634012
Riverfront Drive,2024-12-21 04:51:00,Low,Construction work,36.148569,-115.144082
Downtown Avenue,2024-12-20 02:35:00,High,Traffic signal fail,34.089647,-118.244924
Lakeview Parkway,2024-12-21 19:38:00,High,Heavy rain,39.781953,-104.916749
Elmwood Road,2024-12-20 01:01:00,Low,Road debris,41.881814,-87.639573
